,"Natural Gas Working Inventory U.S. Total, Monthly /// units: billion cubic feet, end-of-period /// most recent data point: 202212 /// last updated: 2021-12-07T12:01:25-0500",
,date,value
0,202212,2861.888
1,202211,3496.675
2,202210,3588.492
3,202209,3311.487
4,202208,2955.057
5,202207,2739.698
6,202206,2588.192
7,202205,2309.528
8,202204,1887.6
9,202203,1659.463
10,202202,1756.195
11,202201,2258.44
12,202112,2961.818
13,202111,3540.3772857
14,202110,3643.557
15,202109,3304.682
16,202108,2915.598
17,202107,2752.44
18,202106,2582.857
19,202105,2388.06
20,202104,1974.331
21,202103,1800.645
22,202102,1858.222
23,202101,2634.964
24,202012,3340.981
25,202011,3931.616
26,202010,3928.503
27,202009,3839.836
28,202008,3522.216
29,202007,3293.549
30,202006,3133.095
31,202005,2777.584
32,202004,2332.493
33,202003,2029.359
34,202002,2080.883
35,202001,2616.175
36,201912,3188.243
37,201911,3610.029
38,201910,3762.043
39,201909,3414.939
40,201908,2997.81
41,201907,2714.196
42,201906,2460.748
43,201905,2031.031
44,201904,1559.401
45,201903,1184.89
46,201902,1426.21
47,201901,1993.996
48,201812,2708.318
49,201811,3030.079
50,201810,3236.254
51,201809,2950.368
52,201808,2616.841
53,201807,2381.269
54,201806,2195.226
55,201805,1847.454
56,201804,1426.799
57,201803,1390.279
58,201802,1672.662
59,201801,2140.556
60,201712,3032.601
61,201711,3709.263
62,201710,3816.496
63,201709,3567.228
64,201708,3249.896
65,201707,3054.151
66,201706,2906.808
67,201705,2626.507
68,201704,2291.25
69,201703,2062.504
70,201702,2337.331
71,201701,2622.158
72,201612,3296.944
73,201611,3976.581
74,201610,4012.723
75,201609,3705.161
76,201608,3441.325
77,201607,3318.139
78,201606,3186.032
79,201605,2966.265
80,201604,2645.56
81,201603,2486.322
82,201602,2534.292
83,201601,2938.089
84,201512,3666.632
85,201511,3926.822
86,201510,3942.279
87,201509,3614.08
88,201508,3241.631
89,201507,2924.426
90,201506,2646.533
91,201505,2287.238
92,201504,1793.086
93,201503,1471.476
94,201502,1665.548
95,201501,2407.121
96,201412,3141.222
97,201411,3426.868
98,201410,3587.27
99,201409,3187.016
100,201408,2768.398
101,201407,2399.974
102,201406,2005.475
103,201405,1547.944
104,201404,1066.38
105,201403,857.31
106,201402,1199.987
107,201401,1924.922
108,201312,2889.892
109,201311,3605.336
110,201310,3816.995
111,201309,3564.504
112,201308,3212.006
113,201307,2936.86
114,201306,2642.648
115,201305,2269.563
116,201304,1855.187
117,201303,1719.844
118,201302,2099.354
119,201301,2699.226
120,201212,3412.91
121,201211,3799.215
122,201210,3929.25
123,201209,3693.053
124,201208,3406.134
125,201207,3245.201
126,201206,3115.446
127,201205,2887.06
128,201204,2611.226
129,201203,2473.129
130,201202,2448.81
131,201201,2910.006
132,201112,3462.02
133,201111,3842.882
134,201110,3803.828
135,201109,3415.697
136,201108,3019.154
137,201107,2775.346
138,201106,2529.647
139,201105,2186.855
140,201104,1788.479
141,201103,1577.006
142,201102,1721.874
143,201101,2305.843
144,201012,3111.085
145,201011,3768.904
146,201010,3850.64
147,201009,3507.646
148,201008,3152.761
149,201007,2965.779
150,201006,2740.056
151,201005,2419.659
152,201004,2011.101
153,201003,1652.412
154,201002,1683.334
155,201001,2303.857
156,200912,3130.075
157,200911,3837.424
158,200910,3809.867
159,200909,3645.977
160,200908,3359.118
161,200907,3090.305
162,200906,2760.133
163,200905,2374.809
164,200904,1909.915
165,200903,1659.646
166,200902,1758.022
167,200901,2133.233
168,200812,2840.363
169,200811,3345.91
170,200810,3399.381
171,200809,3160.918
172,200808,2866.163
173,200807,2517.023
174,200806,2177.548
175,200805,1839.543
176,200804,1436.402
177,200803,1266.065
178,200802,1464.69
179,200801,2055.88
180,200712,2879.259
181,200711,3442.032
182,200710,3565.379
183,200709,3315.434
184,200708,3020.798
185,200707,2896.254
186,200706,2582.783
187,200705,2181.239
188,200704,1722.741
189,200703,1603.001
190,200702,1651.569
191,200701,2382.894
192,200612,3069.956
193,200611,3406.652
194,200610,3452.241
195,200609,3323.178
196,200608,2969.223
197,200607,2779.211
198,200606,2616.647
199,200605,2309.943
200,200604,1945.276
201,200603,1691.737
202,200602,1886.24
203,200601,2371.047
204,200512,2635.36
205,200511,3189.16
206,200510,3194.104
207,200509,2931.698
208,200508,2662.261
209,200507,2450.169
210,200506,2197.491
211,200505,1875.151
212,200504,1498.643
213,200503,1284.37
214,200502,1564.462
215,200501,1993.943
216,200412,2696.075
217,200411,3244.547
218,200410,3302.235
219,200409,3056.55
220,200408,2742.614
221,200407,2394.569
222,200406,2022.935
223,200405,1623.759
224,200404,1252.455
225,200403,1058.411
226,200402,1155.757
227,200401,1751.044
228,200312,2562.619
229,200311,3037.956
230,200310,3130.211
231,200309,2845.276
232,200308,2435.746
233,200307,2125.887
234,200306,1765.182
235,200305,1297.563
236,200304,893.321
237,200303,730.055
238,200302,850.501
239,200301,1522.318
240,200212,2375.233
241,200211,2928.627
242,200210,3115.902
243,200209,3041.639
244,200208,2773.379
245,200207,2538.634
246,200206,2308.175
