,"Resident population including Armed Forces, United States /// units: Thousand /// most recent data point: 2019 /// last updated: 2021-06-24T19:29:04-0400",
,date,value
0,2019,328330
1,2018,326838
2,2017,325122
3,2016,323072
4,2015,320739
5,2014,318386
6,2013,316060
7,2012,313878
8,2011,311583
9,2010,309327
10,2009,306772
11,2008,304094
12,2007,301231
13,2006,298380
14,2005,295517
15,2004,292805
16,2003,290108
17,2002,287625
18,2001,284969
19,2000,282162
20,1999,279040
21,1998,275854
22,1997,272647
23,1996,269394
24,1995,266278
25,1994,263126
26,1993,259919
27,1992,256514
28,1991,252981
29,1990,249623
30,1989,246819
31,1988,244499
32,1987,242289
33,1986,240133
34,1985,237924
35,1984,235825
36,1983,233792
37,1982,231664
38,1981,229466
39,1980,227225
40,1979,225055
41,1978,222585
42,1977,220239
43,1976,218035
44,1975,215973
45,1974,213854
46,1973,211909
47,1972,209896
48,1971,207661
49,1970,205052
50,1969,202677
51,1968,200706
52,1967,198712
53,1966,196560
54,1965,194303
55,1964,191889
56,1963,189242
57,1962,186538
58,1961,183691
59,1960,180671
