,"Cooling Degree Days U.S. Average, Monthly /// units: total degree days /// most recent data point: 202212 /// last updated: 2021-12-07T12:01:25-0500",
,date,value
0,202212,9.9802281319
1,202211,20.186234165
2,202210,62.490711577
3,202209,176.1316857
4,202208,323.3717407
5,202207,347.40812484
6,202206,236.97240993
7,202205,120.46838307
8,202204,42.200361569
9,202203,24.029968963
10,202202,12.311253202
11,202201,11.285783665
12,202112,11.135558783
13,202111,16.130813504
14,202110,84.697172235
15,202109,199.25953924
16,202108,355.98686652
17,202107,345.50630881
18,202106,273.5607803
19,202105,100.29786371
20,202104,35.939031971
21,202103,27.727473073
22,202102,11.766375575
23,202101,9.6460627175
24,202012,6.8857810812
25,202011,31.331020864
26,202010,81.885404246
27,202009,179.34154052
28,202008,355.40861424
29,202007,396.15041107
30,202006,245.86862605
31,202005,104.58891274
32,202004,42.136428315
33,202003,42.464977841
34,202002,12.444220322
35,202001,15.179976337
36,201912,13.696916286
37,201911,15.969872038
38,201910,74.600894253
39,201909,241.57435902
40,201908,334.982756
41,201907,372.39535434
42,201906,226.00017907
43,201905,128.5793799
44,201904,41.573089688
45,201903,18.235214188
46,201902,17.942291275
47,201901,8.964896017
48,201812,10.641427439
49,201811,17.662973364
50,201810,68.959078865
51,201809,230.0303071
52,201808,350.29853157
53,201807,375.1339247
54,201806,268.76992405
55,201805,173.4582498
56,201804,32.348679269
57,201803,20.977489721
58,201802,22.753325463
59,201801,7.4961456951
60,201712,10.059064834
61,201711,27.1893427
62,201710,77.245885833
63,201709,183.4908476
64,201708,291.08180955
65,201707,362.08499615
66,201706,240.40715719
67,201705,105.03370281
68,201704,55.54605019
69,201703,31.704334195
70,201702,21.588470802
71,201701,16.567552364
72,201612,16.452592947
73,201611,25.379353369
74,201610,85.90700018
75,201609,218.5179336
76,201608,361.39062055
77,201607,382.94056312
78,201606,269.92041605
79,201605,97.016549317
80,201604,42.220364885
81,201603,34.998478279
82,201602,11.104526984
83,201601,7.4167488775
84,201512,26.137577288
85,201511,29.612369094
86,201510,76.598971423
87,201509,222.66143679
88,201508,314.55008771
89,201507,335.49118996
90,201506,254.29610396
91,201505,125.54315745
92,201504,52.999508295
93,201503,29.226942393
94,201502,7.2501110375
95,201501,9.1537452885
96,201412,10.262559168
97,201411,11.075840007
98,201410,73.892739219
99,201409,182.07774728
100,201408,291.32151936
101,201407,300.1760489
102,201406,242.12053702
103,201405,112.94819926
104,201404,37.120288375
105,201403,15.180786142
106,201402,11.882719066
107,201401,7.0511996318
108,201312,13.33646578
109,201311,17.656971351
110,201310,55.848219092
111,201309,176.87644672
112,201308,287.98438103
113,201307,338.06071349
114,201306,244.20479601
115,201305,99.464535979
116,201304,34.039811904
117,201303,11.063832977
118,201302,10.766520152
119,201301,14.926564286
120,201212,11.385683733
121,201211,13.911280359
122,201210,55.211235336
123,201209,173.58597441
124,201208,327.86100799
125,201207,401.11847038
126,201206,232.8578679
127,201205,154.71567203
128,201204,48.674783714
129,201203,48.782898691
130,201202,13.247119625
131,201201,11.985233114
132,201112,11.238021951
133,201111,18.343284574
134,201110,49.453217264
135,201109,175.25140257
136,201108,349.66787253
137,201107,404.14150605
138,201106,259.18648299
139,201105,106.78445847
140,201104,54.153775614
141,201103,25.130929961
142,201102,9.5557162169
143,201101,5.8685943902
144,201012,2.8631466975
145,201011,15.004096677
146,201010,55.049083487
147,201009,194.82572281
148,201008,351.43307854
149,201007,374.65266366
150,201006,282.67271117
151,201005,128.21691411
152,201004,36.434649031
153,201003,8.5594716498
154,201002,2.7063564295
155,201001,4.0042900295
156,200912,8.1249334479
157,200911,18.216047807
158,200910,49.125041353
159,200909,168.62366796
160,200908,303.16108584
161,200907,286.35795462
162,200906,221.85391971
163,200905,118.29645298
164,200904,30.557676445
165,200903,19.886462036
166,200902,8.651835454
167,200901,8.1251335234
168,200812,9.6019873499
169,200811,13.219890434
170,200810,49.337813413
171,200809,170.62601789
172,200808,281.34631969
173,200807,331.02354519
174,200806,261.55623456
175,200805,93.198807137
176,200804,32.203413929
177,200803,19.547167732
178,200802,13.093287212
179,200801,8.2290565517
180,200712,13.767004228
181,200711,18.078822626
182,200710,80.882097624
183,200709,186.67824222
184,200708,361.76082193
185,200707,306.96511213
186,200706,231.650934
187,200705,117.94548233
188,200704,24.734813621
189,200703,31.637099612
190,200702,6.5349793231
191,200701,11.541504886
192,200612,13.262653686
193,200611,15.305092009
194,200610,46.929020029
195,200609,134.43589561
196,200608,329.41622206
197,200607,381.50963032
198,200606,233.07917473
199,200605,108.73505639
200,200604,55.200092917
201,200603,21.234303899
202,200602,6.2470231539
203,200601,14.489784054
204,200512,5.6778310981
205,200511,21.366091735
206,200510,56.077243266
