,"Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore, Monthly /// units: Number of Rigs /// most recent data point: 202110 /// last updated: 2021-11-22T15:19:36-0500",
,date,value
0,202110,526
1,202109,502
2,202108,486
3,202107,468
4,202106,451
5,202105,439
6,202104,424
7,202103,395
8,202102,381
9,202101,358
10,202012,326
11,202011,298
12,202010,266
13,202009,242
14,202008,237
15,202007,243
16,202006,262
17,202005,335
18,202004,548
19,202003,752
20,202002,768
21,202001,770
22,201912,781
23,201911,788
24,201910,825
25,201909,852
26,201908,900
27,201907,930
28,201906,945
29,201905,965
30,201904,990
31,201903,1001
32,201902,1029
33,201901,1044
34,201812,1054
35,201811,1055
36,201810,1041
37,201809,1033
38,201808,1031
39,201807,1032
40,201806,1037
41,201805,1026
42,201804,995
43,201803,976
44,201802,952
45,201801,919
46,201712,911
47,201711,891
48,201710,901
49,201709,922
50,201708,930
51,201707,931
52,201706,909
53,201705,871
54,201704,833
55,201703,770
56,201702,724
57,201701,659
58,201612,611
59,201611,558
60,201610,521
61,201609,491
62,201608,464
63,201607,429
64,201606,396
65,201605,384
66,201604,411
67,201603,451
68,201602,506
69,201601,615
70,201512,686
71,201511,729
72,201510,758
73,201509,816
74,201508,849
75,201507,835
76,201506,833
77,201505,857
78,201504,943
79,201503,1066
80,201502,1296
81,201501,1629
82,201412,1824
83,201411,1872
84,201410,1867
85,201409,1866
86,201408,1842
87,201407,1819
88,201406,1804
89,201405,1801
90,201404,1784
91,201403,1750
92,201402,1714
93,201401,1711
94,201312,1710
95,201311,1698
96,201310,1683
97,201309,1695
98,201308,1720
99,201307,1708
100,201306,1706
101,201305,1715
102,201304,1707
103,201303,1705
104,201302,1708
105,201301,1704
106,201212,1733
107,201211,1758
108,201210,1785
109,201209,1808
110,201208,1863
111,201207,1894
112,201206,1923
113,201205,1931
114,201204,1917
115,201203,1935
116,201202,1949
117,201201,1960
118,201112,1961
119,201111,1974
120,201110,1982
121,201109,1946
122,201108,1923
123,201107,1865
124,201106,1829
125,201105,1804
126,201104,1762
127,201103,1694
128,201102,1692
129,201101,1686
130,201012,1687
131,201011,1661
132,201010,1647
133,201009,1635
134,201008,1619
135,201007,1558
136,201006,1511
137,201005,1464
138,201004,1426
139,201003,1369
140,201002,1305
141,201001,1225
142,200912,1136
143,200911,1071
144,200910,1011
145,200909,976
146,200908,949
147,200907,893
148,200906,848
149,200905,864
150,200904,947
151,200903,1059
152,200902,1263
153,200901,1487
154,200812,1716
155,200811,1872
156,200810,1903
157,200809,1942
158,200808,1920
159,200807,1865
160,200806,1834
161,200805,1794
162,200804,1765
163,200803,1737
164,200802,1709
165,200801,1690
166,200712,1749
167,200711,1737
168,200710,1713
169,200709,1718
170,200708,1731
171,200707,1698
172,200706,1692
173,200705,1671
174,200704,1675
175,200703,1667
176,200702,1651
177,200701,1630
178,200612,1634
179,200611,1620
180,200610,1644
181,200609,1646
182,200608,1639
183,200607,1587
184,200606,1570
185,200605,1536
186,200604,1502
187,200603,1464
188,200602,1455
189,200601,1396
190,200512,1393
191,200511,1402
192,200510,1392
193,200509,1360
194,200508,1333
195,200507,1297
196,200506,1259
197,200505,1229
198,200504,1241
199,200503,1209
200,200502,1170
201,200501,1153
202,200412,1140
203,200411,1160
204,200410,1145
205,200409,1148
206,200408,1139
207,200407,1116
208,200406,1080
209,200405,1068
210,200404,1058
211,200403,1041
212,200402,1020
213,200401,1001
214,200312,1010
215,200311,1005
216,200310,997
217,200309,984
218,200308,979
219,200307,974
220,200306,958
221,200305,921
222,200304,877
223,200303,836
224,200302,797
225,200301,743
226,200212,742
227,200211,725
228,200210,740
229,200209,746
230,200208,737
231,200207,740
232,200206,732
233,200205,721
234,200204,645
235,200203,649
236,200202,702
237,200201,741
238,200112,778
239,200111,866
240,200110,978
241,200109,1049
242,200108,1105
243,200107,1121
244,200106,1107
245,200105,1063
246,200104,1037
247,200103,996
248,200102,973
249,200101,944
250,200012,950
251,200011,916
252,200010,908
253,200009,865
254,200008,828
255,200007,784
256,200006,739
257,200005,705
258,200004,680
259,200003,649
260,200002,641
261,200001,650
262,199912,676
263,199911,663
264,199910,630
265,199909,587
266,199908,533
267,199907,489
268,199906,458
269,199905,414
270,199904,397
271,199903,420
272,199902,441
273,199901,483
274,199812,545
275,199811,579
276,199810,623
277,199809,656
278,199808,674
279,199807,695
280,199806,726
281,199805,722
282,199804,748
283,199803,796
284,199802,835
285,199801,860
286,199712,884
287,199711,857
288,199710,875
289,199709,881
290,199708,868
291,199707,844
292,199706,855
293,199705,804
294,199704,775
295,199703,770
296,199702,742
297,199701,712
298,199612,736
299,199611,741
300,199610,728
301,199609,702
302,199608,703
303,199607,677
304,199606,662
305,199605,648
306,199604,628
307,199603,618
308,199602,598
309,199601,598
310,199512,654
311,199511,668
312,199510,656
313,199509,662
314,199508,642
315,199507,619
316,199506,578
317,199505,579
318,199504,587
319,199503,575
320,199502,613
321,199501,642
322,199412,709
323,199411,729
324,199410,723
325,199409,712
326,199408,671
327,199407,664
328,199406,643
329,199405,612
330,199404,617
331,199403,636
332,199402,659
333,199401,690
334,199312,754
335,199311,769
336,199310,767
337,199309,759
338,199308,710
339,199307,656
340,199306,612
341,199305,564
342,199304,543
343,199303,549
344,199302,615
345,199301,752
346,199212,867
347,199211,822
348,199210,750
349,199209,672
350,199208,635
351,199207,628
352,199206,577
353,199205,591
354,199204,587
355,199203,594
356,199202,618
357,199201,654
358,199112,731
359,199111,736
360,199110,727
361,199109,704
362,199108,735
363,199107,764
364,199106,774
365,199105,721
366,199104,770
367,199103,848
368,199102,896
369,199101,977
370,199012,1035
371,199011,1031
372,199010,974
373,199009,935
374,199008,879
375,199007,902
376,199006,886
377,199005,841
378,199004,824
379,199003,797
380,199002,806
381,199001,885
382,198912,948
383,198911,922
384,198910,878
385,198909,848
386,198908,772
387,198907,718
388,198906,692
389,198905,662
390,198904,679
391,198903,660
392,198902,667
393,198901,731
394,198812,797
395,198811,789
396,198810,801
397,198809,805
398,198808,807
399,198807,786
400,198806,773
401,198805,768
402,198804,800
403,198803,832
404,198802,853
405,198801,949
406,198712,1034
407,198711,1034
408,198710,1008
409,198709,987
410,198708,894
411,198707,804
412,198706,703
413,198705,687
414,198704,681
415,198703,696
416,198702,743
417,198701,812
418,198612,874
419,198611,820
420,198610,739
421,198609,681
422,198608,665
423,198607,621
424,198606,632
425,198605,687
426,198604,794
427,198603,1007
428,198602,1280
429,198601,1635
430,198512,1760
431,198511,1725
432,198510,1684
433,198509,1733
434,198508,1734
435,198507,1715
436,198506,1653
437,198505,1665
438,198504,1667
439,198503,1732
440,198502,1955
441,198501,2210
442,198412,2471
443,198411,2397
444,198410,2269
445,198409,2206
446,198408,2201
447,198407,2180
448,198406,2158
449,198405,2075
450,198404,1917
451,198403,2047
452,198402,2221
453,198401,2450
454,198312,2570
455,198311,2413
456,198310,2205
457,198309,2077
458,198308,1975
459,198307,1861
460,198306,1777
461,198305,1717
462,198304,1633
463,198303,1793
464,198302,1976
465,198301,2404
466,198212,2482
467,198211,2286
468,198210,2173
469,198209,2255
470,198208,2385
471,198207,2504
472,198206,2660
473,198205,2927
474,198204,3209
475,198203,3554
476,198202,3891
