State,County,Year,Volume,Count
Texas,Andrews,2011,3420858,37
Texas,Andrews,2012,3212164,35
Texas,Andrews,2012,3139752,34
Texas,Andrews,2012,3063942,32
Texas,Andrews,2012,2858321,31
Texas,Andrews,2012,2652258,30
Texas,Andrews,2011,2468592,27
Texas,Pecos,2008,3830962.8,26
Texas,Andrews,2011,2188788,25
Texas,Andrews,2011,2247294,24
Texas,Crosby,2014,380703,24
New Mexico,Eddy,2011,10859359,24
Texas,Martin,2019,309500940,24
Texas,Andrews,2011,2135910,23
Texas,Andrews,2013,3003420,23
Texas,Mitchell,2008,1451374.4,23
Texas,Andrews,2012,1838718,22
Texas,Andrews,2012,2074842,22
Texas,Ector,2001,756863,22
Texas,Mitchell,2008,568370.6,22
Texas,Ward,2013,3005460,22
New Mexico,Eddy,2012,5747958,21
Texas,Mitchell,2008,623381.4,21
Texas,Mitchell,2008,859733.2,21
Texas,Andrews,2010,1680334,20
Texas,Crosby,2014,323651,20
Texas,Mitchell,2009,489706,20
Texas,Reagan,2018,319230618,20
Texas,Andrews,2011,1859130,19
Texas,Andrews,2012,1760472,19
Texas,Andrews,2012,2097312,19
Texas,Andrews,2012,1960686,19
New Mexico,Eddy,2009,7698562,19
Texas,Martin,2017,182995428,19
Texas,Martin,2018,240733122,19
Texas,Martin,2019,301839342,19
Texas,Reagan,2014,154825566,19
Texas,Reeves,2018,164176866,19
Texas,Andrews,2006,1769812,18
Texas,Andrews,2011,2469222,18
Texas,Andrews,2011,1696842,18
Texas,Andrews,2011,1653582,18
Texas,Andrews,2012,1673406,18
Texas,Andrews,2012,1642200,18
Texas,Andrews,2013,1429944,18
Texas,Andrews,2014,1755744,18
New Mexico,Eddy,2011,7315022,18
New Mexico,Lea,2019,147160037,18
Texas,Martin,2017,368831778,18
Texas,Mitchell,2008,529238.8,18
Texas,Mitchell,2011,841900,18
Texas,Pecos,2008,3407082,18
Texas,Andrews,2013,2016135,17
Texas,Andrews,2014,1816084,17
New Mexico,Eddy,2000,2375936,17
New Mexico,Eddy,2011,7738670,17
Texas,Mitchell,2011,1010247,17
Texas,Andrews,2008,1813506,16
Texas,Andrews,2008,1903660,16
Texas,Andrews,2011,3106614,16
Texas,Crosby,2017,680008,16
Texas,Ector,2010,2912017,16
Texas,Ector,2010,3504950,16
New Mexico,Eddy,2012,32277493,16
New Mexico,Eddy,2013,9236527,16
Texas,Glasscock,2018,429864162,16
Texas,Glasscock,2019,322366296,16
Texas,Howard,2001,409361.2091,16
Texas,Howard,2019,359326086,16
New Mexico,Lea,2011,6787468,16
Texas,Martin,2016,199094070,16
Texas,Andrews,2008,1656830,15
Texas,Andrews,2009,1500744,15
Texas,Andrews,2010,1338750,15
Texas,Andrews,2010,1568364,15
Texas,Andrews,2011,1351518,15
Texas,Andrews,2011,1258992,15
Texas,Andrews,2011,1345638,15
Texas,Andrews,2012,1512463,15
Texas,Ector,2002,1728262.8,15
Texas,Ector,2012,26778234,15
Texas,Glasscock,2015,110743920,15
Texas,Glasscock,2018,234055374,15
Texas,Irion,2019,310336026,15
New Mexico,Lea,2019,201814106,15
Texas,Martin,2018,181542270,15
Texas,Mitchell,2012,1023792,15
Texas,Scurry,2000,1116754,15
Texas,Andrews,2008,942076,14
Texas,Andrews,2010,2276493,14
Texas,Andrews,2010,1264536,14
Texas,Andrews,2010,1233804,14
Texas,Andrews,2010,3213924,14
Texas,Andrews,2011,1278522,14
Texas,Andrews,2011,1058169,14
Texas,Andrews,2011,1300446,14
Texas,Andrews,2011,1552236,14
Texas,Andrews,2012,702156,14
Texas,Andrews,2012,1473780,14
Texas,Andrews,2014,1061551,14
Texas,Andrews,2014,805033,14
Texas,Crosby,2014,215471,14
Texas,Crosby,2014,358619,14
Texas,Crosby,2016,540839,14
Texas,Ector,2011,2458834,14
New Mexico,Eddy,2010,5963680,14
New Mexico,Eddy,2012,1542500,14
New Mexico,Eddy,2012,3037397,14
New Mexico,Eddy,2018,135617370,14
Texas,Irion,2014,207177726,14
New Mexico,Lea,2010,6175289,14
New Mexico,Lea,2011,14800122,14
Texas,Loving,2018,312163404,14
Texas,Martin,2018,132813828,14
Texas,Martin,2019,286522740,14
Texas,Mitchell,2007,476460,14
Texas,Mitchell,2007,517501,14
Texas,Mitchell,2007,326200,14
Texas,Mitchell,2007,284140,14
Texas,Mitchell,2008,287600,14
